date,erg_in_contract,sigusd_circulating,erg_price,reserves_usd,reserve_ratio,mint_available,redeem_available
2021-07-18,1756477.988676346,2801760.84,5.170472363056523,9081820.896768155,3.2414689958933667,False,True
2021-07-19,1775235.694138174,2801760.84,4.7523162344836525,8436481.4092877,3.0111354576887086,False,True
2021-07-20,1852955.660147397,2797760.84,4.527305840282566,8388896.981969949,2.9984324828743936,False,True
2021-07-21,1859454.709069293,2795016.84,4.2777897194252015,7954356.2381934,2.845906373212907,False,True
2021-07-22,1875454.891177253,2795016.84,5.179435879850445,9713798.354404476,3.475398865362284,False,True
2021-07-23,1876515.786945257,2795016.84,4.885807561966857,9168295.022007324,3.2802289026664053,False,True
2021-07-24,1445391.335398932,624914.84,5.0154076722981005,7249226.793033,11.600343485254728,True,True
2021-07-25,1445392.211940477,624919.34,5.296002727410906,7654801.096615248,12.249262595417912,True,True
2021-07-26,1444193.912560917,622621.34,5.246205915481327,7576538.647179205,12.16877443869689,True,True
2021-07-27,1452085.761691667,669861.34,5.568458785036028,8085879.716317695,12.070975339937807,True,True
2021-07-28,1451761.102793467,668721.34,5.226670024987078,7587876.239412798,11.346843274678205,True,True
2021-07-29,1451430.903337867,666921.34,5.410431994639356,7852868.197427497,11.774804203187587,True,True
2021-07-30,1451143.205953808,667711.34,5.264722731187479,7639866.622593287,11.441870408541044,True,True
2021-07-31,1451143.987562672,667715.34,5.417137155490993,7861046.012993109,11.77304989427547,True,True
2021-08-01,1451237.891520739,668217.94,5.283500987165989,7667616.832462514,11.474724597281112,True,True
2021-08-02,1391872.976767339,366067.94,5.185574247141757,7217660.66361725,19.716724342528465,True,True
2021-08-03,1392476.361242739,369807.94,5.208609177131797,7252865.154108022,19.61251874177721,True,True
2021-08-04,1392028.150528,367884.94,5.87038152479173,8171736.336849572,22.212750369312676,True,True
2021-08-05,1391773.479639815,366597.44,6.582627756517428,9161526.737861888,24.990700256559045,True,True
2021-08-06,1373074.936600814,279047.64,6.342569279620111,8708822.911500655,31.209090001623576,True,True
2021-08-07,1373799.01939221,287067.64,9.083632616152476,12479085.580589367,43.470889232201046,True,True
2021-08-08,1368949.95985177,278167.64,8.292261272683833,11351690.73632092,40.80881132083128,True,True
2021-08-09,1367829.566457775,272084.94,8.617902086412263,11787821.27463284,43.32404900702273,True,True
2021-08-11,1399522.054258251,1376827.44,12.052660751247654,16867964.533863913,12.25132797604899,True,True
2021-08-12,1410002.176166311,1860852.44,11.516920107219836,16238882.41391351,8.726582540802381,True,True
2021-08-13,1331759.497541151,1777946.44,10.74163115878282,14305269.31479298,8.045950650117998,True,True
2021-08-14,1331767.101748737,1777560.74,11.705195780662471,15588594.660214406,8.769655128754929,True,True
2021-08-15,1399348.729481056,2587580.65,12.194170358423946,17063896.798136104,6.594537178246446,True,True
2021-08-16,1330119.861787856,1779380.65,11.74828295930796,15626624.50607933,8.78205824373741,True,True
2021-08-17,1329691.069953741,1778900.65,11.662635313139416,15507702.028008634,8.717576233393718,True,True
2021-08-18,1332222.561468766,1808063.15,11.443424126610251,15245187.801926186,8.431778393318943,True,True
2021-08-19,1333416.459803056,1833574.35,11.502401559818884,15337491.567126844,8.364804823500528,True,True
2021-08-20,1333453.414906543,1834005.15,12.07827113319824,16105811.888730315,8.781770263148015,True,True
2021-08-21,1316656.833010053,1813343.45,13.10955093483022,17260779.81603754,9.518759292972073,True,True
2021-08-22,1311048.109984918,1916503.45,14.6983060718502,19270186.39547905,10.054866530753728,True,True
2021-08-23,1406956.53477466,3416350.45,15.1844822475152,21363906.525311325,6.253429452857017,True,True
2021-08-24,1400859.182339283,3316469.45,17.51837787553243,24540780.506628945,7.399670305007316,True,True
2021-08-25,1492289.508736593,5881767.45,17.63435219065037,26315558.767473705,4.474090312338633,True,True
2021-08-26,1481020.213262491,5809354.21,17.917514021330952,26536200.437005237,4.56783998319931,True,True
2021-08-27,1453500.930375759,4884698.45,16.242109922820653,23607921.884085167,4.833035677787882,True,True
2021-08-29,1441797.860508809,4891232.45,17.832174813260888,25710391.49397862,5.2564239701956135,True,True
2021-08-30,1441867.294022987,4891091.45,18.04592804363252,26019833.436405957,5.319841941701163,True,True
2021-08-31,1499033.193700387,5838591.45,16.624394786791633,24920519.610580325,4.268241719598367,True,True
2021-09-01,1482401.077354243,5592933.05,16.67656008306822,24721350.633703094,4.420104873900304,True,True
2021-09-02,1541979.52102135,6617867.84,18.08922789213538,27893218.96076096,4.214834692250512,True,True
2021-09-03,1539362.04474797,6574849.04,18.722421178073077,28820584.54731127,4.383459509408184,True,True
2021-09-04,1539354.192321798,6569839.45,18.13876434287349,27921982.93473945,4.25002515620674,True,True
2021-09-05,1540084.876055001,6575770.06,18.31018113711654,28199233.047100745,4.288354487732916,True,True
2021-09-06,1548456.389453483,6714682.47,17.576261589113393,27216074.560368463,4.053218403396589,True,True
2021-09-07,1544602.045176167,6636820.31,17.150915812165795,26491339.640115548,3.9915710238832047,False,True
2021-09-08,1573801.383899372,6633534.31,14.04415967927738,22102717.9389505,3.331967079092488,False,True
2021-09-09,1580885.653152849,6632734.31,15.204948379383463,24037284.74989698,3.624038537719896,False,True
2021-09-10,1581522.512598062,6632634.31,15.035718540940293,23779327.365585156,3.5852010308684057,False,True
2021-09-11,1577829.817610131,6635391.63,15.715010269216318,24795611.78681892,3.7368723911807633,False,True
2021-09-12,1577669.627005665,6649849.86,17.778372527841118,28048398.35476686,4.217899493262673,True,True
2021-09-13,1577338.524581209,6664104.32,18.357770919346333,28956419.29652157,4.345132955019763,True,True
2021-09-14,1574727.732805488,6726454.24,17.392008654202755,27387678.35696613,4.071636761326742,True,True
2021-09-15,1574308.298065338,6740933.85,17.4729838801755,27507863.51452218,4.0807199902313505,True,True
2021-09-17,1588162.961729204,6999379.76,17.685629150794796,28087661.17217061,4.0128785885694835,True,True
2021-09-18,1594046.975895637,7099379.76,17.50831625401377,27909078.577735078,3.9311995584435504,False,True
2021-09-19,1592552.202500721,7070142.76,17.055462376808325,27161714.17285428,3.8417490416918088,False,True
2021-09-20,1631308.774967813,7000357.25,15.008708429910762,24483837.762646813,3.4975126108952246,False,True
2021-09-22,1636478.185031281,6933120.25,12.007897147277616,19650661.72961917,2.8343171647165892,False,True
2021-09-23,1669213.964646779,6931516.31,15.867983409066015,26487059.497196395,3.8212504036070567,False,True
2021-09-24,1678747.690536843,6930919.02,15.85844457830595,26622327.21133763,3.8410962723003554,False,True
2021-09-25,1678614.726240712,6928918.78,15.011314236793543,25198213.138108496,3.6366731864200745,False,True
2021-09-26,1678692.777147397,6928918.78,14.305576724240275,24014668.319910068,3.4658608481928357,False,True
2021-09-27,1677447.113322076,6904134.08,13.168187816467224,22088938.640415873,3.1993785729630373,False,True
2021-09-28,2057799.578067507,6903929.84,12.014795969096827,24724042.075774632,3.581154885515846,False,True
2021-09-29,2090117.837729309,6896905.86,10.408366238425858,21754711.936553396,3.154271259917327,False,True
2021-10-01,1660248.134521221,1988126.53,11.095793116991215,18421769.82351807,9.265894069387057,True,True
2021-10-02,1557578.050339737,5174859.32,13.13402898069322,20457275.252853747,3.9532041332582053,False,True
2021-10-03,1270466.673465573,1989454.52,13.008444312072378,16526794.972120747,8.307199187504295,True,True
2021-10-04,1275617.551426914,2085910.43,12.608558294841917,16083698.259089753,7.710637056975526,True,True
2021-10-05,1274792.687148559,2066511.61,11.812868946986978,15058958.947863298,7.2871397745804565,True,True
2021-10-06,1275085.327672569,2066511.61,12.038022871220646,15349506.337280259,7.427737769777281,True,True
2021-10-07,1279253.109922999,2032159.2,11.405580679798522,14590624.555109933,7.179862953212491,True,True
2021-10-08,1292411.069680321,2013293.1,11.124955160557317,14378015.199201489,7.141540990331457,True,True
2021-10-10,1302641.086900615,2013441.34,10.765689731044898,14023829.772483114,6.965104715930345,True,True
2021-10-11,1319235.217580552,2023579.13,10.143858246215826,13382135.040552812,6.613101925276731,True,True
2021-10-12,1334471.075730522,1999967.31,9.883195762985675,13188838.881486831,6.5945272282909615,True,True
2021-10-14,1334590.913647604,1989152.23,10.198518784281388,13610850.50216635,6.84253839243181,True,True
