date,erg_price,strategy,regime,sigmausd_ratio,erg_reserves,sigusd_reserves,total_usd,reserve_ratio,interventions,accum_path,window
2025-03-17,0.7944606484136004,B_70_30,uip001,4.388153042009298,4616.722623358514,9470.94826443989,13138.752713339034,0.13138752713339033,1,none,hypothetical_full
2025-03-18,0.8113631499892788,B_70_30,uip001,4.482754943409369,4616.768790584748,9470.94826443989,13216.824333140925,0.13216824333140925,0,none,hypothetical_full
2025-03-19,0.7905471127630022,B_70_30,uip001,4.3245493714361265,4616.814958272654,9449.049625013744,13098.85936043723,0.13098859360437232,1,none,hypothetical_full
2025-03-20,0.8306234466896665,B_70_30,uip001,4.538373378985888,4616.861126422236,9449.049625013744,13283.922726730118,0.13283922726730119,0,none,hypothetical_full
2025-03-21,0.8129950470137232,B_70_30,uip001,4.434676777673057,4616.9072950335,9426.528713642556,13180.051477026318,0.1318005147702632,1,none,hypothetical_full
2025-03-22,0.8177319761164408,B_70_30,uip001,4.417446840229644,4616.953464106451,9426.528713642556,13201.95919348397,0.1320195919348397,0,none,hypothetical_full
2025-03-23,0.8098178769334291,B_70_30,uip001,4.417446840229644,4616.999633641092,9426.528713642556,13165.457554760205,0.13165457554760204,0,none,hypothetical_full
2025-03-24,0.8004272720898605,B_70_30,uip001,4.368898177450162,4617.045803637428,9426.528713642556,13122.138091362001,0.13122138091362,0,none,hypothetical_full
2025-03-25,0.8246354556693408,B_70_30,uip001,4.523787197671613,4617.091974095465,9426.528713642556,13233.946457568025,0.13233946457568024,0,none,hypothetical_full
2025-03-26,0.8304140798157036,B_70_30,uip001,4.500414423922872,4617.138145015206,9426.528713642556,13260.665237717343,0.13260665237717342,0,none,hypothetical_full
2025-03-27,0.8207689242728123,B_70_30,uip001,4.450378272006322,4617.184316396656,9426.528713642556,13216.17011818074,0.1321617011818074,0,none,hypothetical_full
2025-03-28,0.8271249461890365,B_70_30,uip001,4.483509753015392,4617.23048823982,9426.528713642556,13245.555232770297,0.13245555232770298,0,none,hypothetical_full
2025-03-29,0.8057259419553565,B_70_30,uip001,4.365480618376997,4617.276660544702,9404.207379336383,13124.466965922245,0.13124466965922246,1,none,hypothetical_full
2025-03-30,0.7780047923907023,B_70_30,uip001,4.2113618762671345,4617.3228333113075,9382.653799118198,12974.95309144941,0.1297495309144941,1,none,hypothetical_full
2025-03-31,0.7689154951471611,B_70_30,uip001,4.110404017980733,4617.36900653964,9382.653799118198,12933.02037505878,0.12933020375058782,0,none,hypothetical_full
2025-04-01,0.7554283545205929,B_70_30,uip001,4.110404017980733,4617.415180229706,9382.653799118198,12870.78015085753,0.1287078015085753,0,none,hypothetical_full
2025-04-02,0.7768452771934368,B_70_30,uip001,4.229806895082861,4617.461354381508,9382.653799118198,12969.706844892682,0.1296970684489268,0,none,hypothetical_full
2025-04-03,0.7484074106030045,B_70_30,uip001,3.999060843978369,4617.507528995051,9361.919345343445,12817.69619855851,0.1281769619855851,1,none,hypothetical_full
2025-04-04,0.7383282960545055,B_70_30,uip001,3.946463584861184,4617.553704070341,9361.919345343445,12771.189903609871,0.12771189903609872,0,none,hypothetical_full
2025-04-05,0.7355585414288914,B_70_30,uip001,3.9359180522978656,4617.599879607382,9361.919345343445,12758.434377689675,0.12758434377689676,0,none,hypothetical_full
2025-04-06,0.7278958179162001,B_70_30,uip001,3.903259358667861,4617.6460556061775,9361.919345343445,12723.08459783642,0.1272308459783642,0,none,hypothetical_full
2025-04-07,0.6816566875122044,B_70_30,uip001,3.6674815723039083,4617.692232066734,9343.033449457236,12490.714240318684,0.12490714240318684,1,none,hypothetical_full
2025-04-08,0.7168100291367424,B_70_30,uip001,3.862081834658637,4617.738408989054,9343.033449457236,12653.074652950534,0.12653074652950533,0,none,hypothetical_full
2025-04-09,0.7030531658137622,B_70_30,uip001,3.752675950785316,4617.784586373144,9343.033449457236,12589.581521952869,0.1258958152195287,0,none,hypothetical_full
2025-04-10,0.7757843076295494,B_70_30,uip001,4.261403927043733,4617.8307642190075,9343.033449457236,12925.474091627311,0.12925474091627312,0,none,hypothetical_full
2025-04-11,0.7696905894290595,B_70_30,uip001,4.174920965207381,4617.87694252665,9343.033449457236,12897.369875261436,0.12897369875261436,0,none,hypothetical_full
