height,erg_balance_nano
1662724,1752443137450187
1662722,1752414579394935
1662720,1752386021339683
1662719,1752357463284431
1662717,1752141225742795
1662715,1752110633309691
1662713,1752080040876587
1662712,1752049448443483
1662710,1752018856010379
1662705,1751988263577275
1662702,1752024299767651
1662693,1751634672606777
1662672,1751387838742300
1662654,1751082812747950
1662654,1751082812747950
1662653,1749555773273650
1662648,1749527215274686
1662646,1749504776103057
1662646,1749504776103057
1662645,1749945968573353
1662642,1749568571486928
1662640,1749548179352226
1662634,1749527787217524
1662633,1749585878327271
1662630,1748863724147220
1662628,1748829053061549
1662627,1748794381975878
1662626,1748759710890207
1662625,1748725039804536
1662623,1748270128530894
1662621,1747843769693251
1662615,1747879804801178
1662614,1747939903611679
1662609,1746779154456691
1662609,1746779154456691
1662606,1743180603185770
1662604,1743770247171164
1662596,1741730249982905
1661949,1741640492398313
1661948,1741666528856553
1661938,1741712615437752
1661927,1741768695813830
1661924,1741814809891700
1661923,1741844896765617
1661922,1741883017736657
1661920,1741909108057159
1661918,1743223928217307
1661917,1743268090272250
1661917,1743268090272250
1661917,1743268090272250
1661917,1743268090272250
1661917,1743268090272250
1661142,1755153441537863
1660678,1755075509159350
1660667,1755038789197523
1660596,1755257486340523
1660587,1755383250680735
1660585,1758012865309663
1660584,1758654555912044
1660579,1758617835980573
1660578,1758581116063076
1660577,1759008396400411
1660576,1759032469055479
1660573,1759086643451638
1660571,1759164934191893
1660569,1759126174266168
1660568,1759164258213944
1660564,1759712453425564
1660557,1759585973519272
1660556,1759508453626952
1660555,1759469693680792
1660553,1759208573917823
1660543,1759169814022411
1660537,1759131054069864
1660526,1759092294090950
1660519,1759051494280022
1660512,1759014774348251
1660494,1758955614440945
1660068,1758908694559221
1659965,1757524401559221
1659955,1759829448355673
1659948,1759873491899679
1659947,1760224290970812
1659945,1760252330804964
1659943,1760298415462275
1659941,1760326475990032
1659939,1760364572915991
1659938,1760424749917994
1659936,1760388029967675
1659932,1760991558944085
1659929,1760954839097697
1659926,1761439673622260
1659925,1761513937674117
1659923,1761424177795686
1659920,1761850683786663
1659918,1761874746777694
1659917,1761902827064685
1659916,1761924891603918
1659912,1762003177894228
1659863,1762039299308881
1659862,1762063345976480
1659860,1762097420529893
1659858,1762050500771907
1659856,1762403867261312
1659854,1762427922510801
1659852,1762449978205546
1659850,1762472033900291
1659849,1762498108902046
1659845,1762550280287744
1659839,1762576376079584
1659835,1762638471938698
1659814,1762597672086904
1659809,1763111137502945
1659808,1763062177513725
1659802,1763316577437633
1659792,1763438744942769
1659715,1763972309505069
1659496,1765656384264602
1659494,1765966954159067
1659491,1765990999300151
1659489,1766019061811243
1659486,1766041117960312
1659484,1766065188773803
1659482,1766095287139608
1659437,1766161531121415
1659412,1765881348341415
1659405,1766201676920295
1659403,1766227716987412
1659402,1766251758494073
1659397,1766293845826028
1659395,1766323889583780
1659393,1766351936948509
1659388,1766408051250447
1659386,1766448099514579
1659385,1766837441350349
1659384,1766873531156599
1659377,1767329720338192
1659375,1767353781464675
1659359,1767403921747603
1659294,1767437960684821
1659278,1767744487676149
1659276,1767770525530314
1659275,1767800578116626
1659273,1767822623926819
1659271,1767848685085978
1659264,1767904842057826
1659228,1767934886263811
1659220,1768377632670258
1659217,1768399672274736
1658763,1769154432736783
1658684,1769188488886453
1658665,1769452816178515
1658664,1769474849066193
1658660,1769524939920752
1658653,1769577058824847
1658646,1769603093890623
1658632,1769655173966622
1658616,1769681207697002
1658411,1771550737548641
1658367,1771505857574157
1658350,1771469137715570
1658024,1771434457951966
1657331,1761444463038987
1657203,1762388217199987
1656843,1763338079945987
1656806,1763386497429136
1656805,1763948129097458
1656616,1763895089234245
1656580,1764289895458175
1656279,1762865745958175
1656275,1762826986122705
1656222,1762849018502026
1656208,1762881060521369
1656203,1763414226953428
1656202,1763348947078456
1656195,1763810455119130
1656192,1764263705873801
1656190,1764214746066704
1656179,1764306831285755
1656165,1764653542810730
1656164,1764616822851902
1656157,1764666896221643
1656150,1764700934002791
1656148,1764744977865916
1656148,1764744977865916
1656137,1768339998200767
1656134,1768771039359796
1656132,1768801072800160
1656124,1769168182900762
1656123,1769194215692409
1656122,1769218251598561
1656119,1769270341162857
1656114,1769298400660924
1656107,1769705619849456
1656033,1769855821614056
1656024,1769954426090600
1655791,1769917706277799
1655787,1769941743495021
1655786,1769963775853140
1655785,1769985808211259
1655782,1770035902467029
1655780,1770091999242227
1655769,1770055279366722
1655728,1770317628025349
1655572,1770278868144348
1655540,1771843730524996
1655534,1772722056835850
1655511,1772685336981839
1655490,1772632297065994
1655478,1772569057185974
1655466,1772511937213848
1655456,1772471137287621
1655354,1772470143337167
1655348,1772516214364629
1655316,1772546249966269
1655305,1772578291976974
1655003,1764096953149614
1655003,1764096953149614
1654996,1764968312881448
1654992,1764937712901014
1654989,1765218266633862
1654987,1765244308603390
1654986,1765282385245022
1654985,1765314461127285
1654982,1765686093791085
1654981,1766081334451009
1654974,1766040534534949
1654934,1766270990594709
1654932,1766325082124731
1654834,1766379206407723
1654826,1766344526491780
1654808,1766642959787133
1654796,1766697035090351
1654788,1766735074964125
1654467,1766853254566897
1654455,1766812454829223
1654444,1766781854937606
1654425,1767078408203303
1654423,1767104449233035
1654368,1767150536580314
1654361,1767184584928772
1654317,1767423089787061
1654314,1767451122487588
1654313,1767473168139995
1654300,1767539336955094
1653933,1767571379207427
1653698,1767578977636363
1653112,1767595555435752
1653070,1769188686359752
1653069,1770147452651732
1653063,1773820825528332
1653060,1777819049863332
1653058,1781817274198332
1653024,1785813390798332
1653017,1789806377278332
1651783,1791363506515632
1651777,1790147672760309
1651777,1790147672760309
1651771,1786156599522309
1651769,1786134162785008
1651768,1786111726047707
1651317,1785687409586710
1651315,1785664977325069
1651312,1785642545063428
1651310,1785565033308593
1651306,1785497720880530
1651303,1785477326519525
1651207,1785428376920338
1651157,1789347417500338
